test_suite,mixed_pre_mode,# test_cases,ave_time
T0,bits,50,0.0174401650428772
T3,bits,50,0.017363704681396485
T0,qubits,50,0.017839479923248292
T3,qubits,50,0.01780874872207642
T1,bits,25,0.008971164226531983
T2,bits,25,0.00904344654083252
T4,bits,25,0.01078620958328247
T5,bits,25,0.023102368354797363
T1,qubits,25,0.007169604301452637
T2,qubits,25,0.007282633781433105
T4,qubits,25,0.008272092342376709
T5,qubits,25,0.01595161581039429
T6 sep,bits,50,0.023685595989227294
T6 sep,qubits,50,0.018107380867004395
T6 ent,bits,50,0.027125916004180906
T6 ent,qubits,50,0.020629702568054197
